Location,Burn,Distance,Plant.Height,Percent.Bare.Ground,Gap.Fraction
Five Points,0,0,31.5,2.5,14.167
Five Points,0,50,36.5,15,13.863
Five Points,0,100,21.5,12.5,15.23
Five Points,0,150,28.5,12.5,13.01
Five Points,0,199.285,15.5,35,18.3
Five Points,0,247.938,16,37.5,17.607
Five Points,0,297.952,39,15,18.74
Five Points,0,347.795,2,50,7.59
Five Points,0,397.163,19.5,10,6.863
Five Points,0,445.755,8,47.5,7.627
Five Points,0,494.166,0,57.5,5.443
Five Points,1,0,156,0,15.957
Five Points,1,43.232,35.5,10,12.48
Five Points,1,89.884,25.5,5,9.207
Five Points,1,133.783,26,27.5,11.007
Five Points,1,177.442,42.5,32.5,13.64
Five Points,1,221.819,14,30,18.907
Five Points,1,270.554,32.5,20,14.257
Five Points,1,320.6,19.5,10,8.817
Five Points,1,366.606,9.5,37.5,4.957
Five Points,1,413.532,30,5,10.783
Five Points,1,456.013,77,2.5,15.227
Natural Rock,0,0,10.5,20,17.593
Natural Rock,0,49.302,0,80,5.96
Natural Rock,0,99.538,2.5,50,7.223
Natural Rock,0,146.999,0,55,10.787
Natural Rock,0,196.892,11,27.5,8.847
Natural Rock,0,246.427,0,62.5,8.353
Natural Rock,0,294.111,27.5,12.5,11.957
Natural Rock,0,343.395,42,10,20.567
Natural Rock,0,392.317,36,10,14.463
Natural Rock,0,441.061,21.5,10,15.91
Natural Rock,0,485.546,26.5,12.5,16.023
Natural Rock,1,0,42,2.5,16.303
Natural Rock,1,48.726,92.5,2.5,15.927
Natural Rock,1,91.039,37,12.5,15.61
Natural Rock,1,140.106,17.5,25,11.07
Natural Rock,1,187.006,15.5,12.5,11.413
Natural Rock,1,237.955,5,42.5,8.38
Natural Rock,1,290.355,14.5,37.5,5.907
Natural Rock,1,340.823,8.5,45,5.047
Natural Rock,1,392.142,66.5,0,18.183
Natural Rock,1,442.384,44,5,15.59
Natural Rock,1,494.053,67,10,12.04
Caney Creek,0,0,19.5,7.5,27.417
Caney Creek,0,50,30,10,23.877
Caney Creek,0,100,11.5,32.5,11.53
Caney Creek,0,150,22,7.5,24.863
Caney Creek,0,200,19.5,10,20.015
Caney Creek,0,250,25.5,27.5,18.36
Caney Creek,0,300,11,45,10.45
Caney Creek,0,350,7,32.5,11.073
Caney Creek,0,399.738,0,72.5,12.45
Caney Creek,0,449.002,0,55,10.42
Caney Creek,0,493.639,21,12.5,11.057
Caney Creek,1,0,65.5,7.5,15.177
Caney Creek,1,49.689,14,37.5,14.773
Caney Creek,1,99.715,0,87.5,8.827
Caney Creek,1,150,18.5,30,13.637
Caney Creek,1,199.816,0,57.5,7.893
Caney Creek,1,249.755,14.5,35,5.913
Caney Creek,1,299.61,0,65,7.94
Caney Creek,1,349.295,27,17.5,18.7
Caney Creek,1,399.147,23,17.5,14.383
Caney Creek,1,449.452,43.5,0,24.783
Caney Creek,1,499.253,33.5,2.5,19.637